A6000420       ;    13;    69.00
A6000421       ;    14;    69.00
A6000422       ;    32;    69.00
A6000423       ;    32;    69.00
A6000424       ;    14;    69.00
A6000425       ;    14;    69.00
A6000426       ;    14;    69.00
A6000427       ;    32;    69.00
A6000428       ;    32;    69.00
A6000429       ;    14;    69.00
A6000430       ;    14;    69.00
A6000431       ;    31;    69.00
A6000432       ;    32;    69.00
A6000433       ;    14;    69.00
A6000434       ;    14;    69.00
A6001120       ;    14;    69.00
A6001121       ;    11;    69.00
A6001122       ;    32;    69.00
A6001123       ;    32;    69.00
A6001124       ;    14;    69.00
A6001125       ;    14;    69.00
A6001126       ;    14;    69.00
A6001127       ;    32;    69.00
A6001128       ;    30;    69.00
A6001129       ;    14;    69.00
A6001130       ;    13;    69.00
A6001131       ;    32;    69.00
A6001132       ;    32;    69.00
A6001133       ;    14;    69.00
A6001134       ;    14;    69.00
A6002820       ;    14;    69.00
A6002821       ;    14;    69.00
A6002822       ;    31;    69.00
A6002823       ;    32;    69.00
A6002824       ;    14;    69.00
A6002825       ;    14;    69.00
A6002826       ;    14;    69.00
A6002827       ;    32;    69.00
A6002828       ;    32;    69.00
A6002829       ;    14;    69.00
A6002830       ;    14;    69.00
A6002831       ;    32;    69.00
A6002832       ;    31;    69.00
A6002833       ;    13;    69.00
A6002834       ;    14;    69.00
A6003520       ;    14;    69.00
A6003521       ;    14;    69.00
A6003522       ;    32;    69.00
A6003523       ;    31;    69.00
A6003524       ;    14;    69.00
A6003525       ;    14;    69.00
A6003526       ;    14;    69.00
A6003527       ;    32;    69.00
A6003528       ;    29;    69.00
A6003529       ;    14;    69.00
A6003530       ;    14;    69.00
A6003531       ;    32;    69.00
A6003532       ;    31;    69.00
A6003533       ;    14;    69.00
A6003534       ;    14;    69.00
A6004220       ;    14;    69.00
A6004221       ;    14;    69.00
A6004222       ;    32;    69.00
A6004223       ;    32;    69.00
A6004224       ;    13;    69.00
A6004225       ;    14;    69.00
A6004226       ;    14;    69.00
A6004227       ;    32;    69.00
A6004228       ;    32;    69.00
A6004229       ;    13;    69.00
A6004230       ;    14;    69.00
A6004231       ;    32;    69.00
A6004232       ;    32;    69.00
A6004233       ;    14;    69.00
A6004234       ;    14;    69.00
A6005920       ;    14;    69.00
A6005921       ;    14;    69.00
A6005922       ;    32;    69.00
A6005923       ;    32;    69.00
A6005924       ;    14;    69.00
A6005925       ;    13;    69.00
A6005926       ;    14;    69.00
A6005927       ;    32;    69.00
A6005928       ;    30;    69.00
A6005929       ;    14;    69.00
A6005930       ;    14;    69.00
A6005931       ;    32;    69.00
A6005932       ;    32;    69.00
A6005933       ;    14;    69.00
A6005934       ;    14;    69.00
A6006620       ;    14;    69.00
A6006621       ;    14;    69.00
A6006622       ;    32;    69.00
A6006623       ;    32;    69.00
A6006624       ;    14;    69.00
A6006625       ;    14;    69.00
A6006626       ;    13;    69.00
A6006627       ;    32;    69.00
A6006628       ;    32;    69.00
A6006629       ;    14;    69.00
A6006630       ;    14;    69.00
A6006631       ;    32;    69.00
A6006632       ;    32;    69.00
A6006633       ;    13;    69.00
A6006634       ;    14;    69.00
A6007320       ;    14;    69.00
A6007321       ;    14;    69.00
A6007322       ;    32;    69.00
A6007323       ;    32;    69.00
A6007324       ;    14;    69.00
A6007325       ;    14;    69.00
A6007326       ;    14;    69.00
A6007327       ;    30;    69.00
A6007328       ;    32;    69.00
A6007329       ;    14;    69.00
A6007330       ;    14;    69.00
A6007331       ;    32;    69.00
A6007332       ;    32;    69.00
A6007333       ;    14;    69.00
A6007334       ;    13;    69.00
268424         ;   396;    78.95
268486         ;   219;    59.50
268509         ;   298;    78.95
268844         ;   157;    38.50
268868         ;    80;    38.50
